file,lines,classes,functions
metagpt\__init__.py,7,0,0
metagpt\_compat.py,23,0,1
metagpt\actions\__init__.py,54,1,0
metagpt\actions\action.py,90,1,7
metagpt\actions\action_node.py,346,1,32
metagpt\actions\action_output.py,42,1,4
metagpt\actions\add_requirement.py,15,1,1
metagpt\actions\analyze_dep_libs.py,37,1,2
metagpt\actions\azure_tts.py,45,1,2
metagpt\actions\clone_function.py,65,1,5
metagpt\actions\debug_error.py,81,1,2
metagpt\actions\design_api.py,140,1,9
metagpt\actions\design_api_an.py,72,0,1
metagpt\actions\design_api_review.py,23,1,2
metagpt\actions\design_filenames.py,30,1,2
metagpt\actions\detail_mining.py,51,1,2
metagpt\actions\execute_task.py,17,1,2
metagpt\actions\fix_bug.py,14,1,1
metagpt\actions\invoice_ocr.py,188,3,9
metagpt\actions\prepare_documents.py,44,1,2
metagpt\actions\prepare_interview.py,40,1,2
metagpt\actions\project_management.py,128,2,8
metagpt\actions\project_management_an.py,85,0,1
metagpt\actions\research.py,287,3,9
metagpt\actions\run_code.py,162,1,5
metagpt\actions\search_and_summarize.py,142,1,2
metagpt\actions\summarize_code.py,120,1,3
metagpt\actions\write_code.py,150,1,4
metagpt\actions\write_code_review.py,171,1,3
metagpt\actions\write_docstring.py,215,1,4
metagpt\actions\write_prd.py,198,1,10
metagpt\actions\write_prd_an.py,158,0,1
metagpt\actions\write_prd_review.py,27,1,2
metagpt\actions\write_test.py,67,1,3
metagpt\actions\write_tutorial.py,67,2,4
metagpt\config.py,184,2,12
metagpt\const.py,101,0,2
metagpt\document.py,256,6,21
metagpt\document_store\__init__.py,11,0,0
metagpt\document_store\base_store.py,55,2,7
metagpt\document_store\chromadb_store.py,53,1,6
metagpt\document_store\document.py,81,1,6
metagpt\document_store\faiss_store.py,89,1,9
metagpt\document_store\lancedb_store.py,89,1,7
metagpt\document_store\milvus_store.py,111,2,10
metagpt\document_store\qdrant_store.py,124,2,7
metagpt\environment.py,113,2,9
metagpt\inspect_module.py,28,0,1
metagpt\learn\__init__.py,7,0,0
metagpt\llm.py,37,0,1
metagpt\logs.py,28,0,1
metagpt\management\__init__.py,7,0,0
metagpt\management\skill_manager.py,80,1,7
metagpt\manager.py,66,1,2
metagpt\memory\__init__.py,17,0,0
metagpt\memory\longterm_memory.py,72,1,6
metagpt\memory\memory.py,90,1,13
metagpt\memory\memory_storage.py,103,1,8
metagpt\prompts\__init__.py,7,0,0
metagpt\prompts\decompose.py,22,0,0
metagpt\prompts\invoice_ocr.py,44,0,0
metagpt\prompts\metagpt_sample.py,40,0,0
metagpt\prompts\sales.py,65,0,0
metagpt\prompts\structure_action.py,22,0,0
metagpt\prompts\structure_goal.py,46,0,0
metagpt\prompts\summarize.py,92,0,0
metagpt\prompts\tutorial_assistant.py,45,0,0
metagpt\prompts\use_lib_sop.py,88,0,0
metagpt\provider\__init__.py,12,0,0
metagpt\provider\anthropic_api.py,34,1,2
metagpt\provider\base_chatbot.py,29,1,3
metagpt\provider\base_gpt_api.py,165,1,20
metagpt\provider\constant.py,30,0,0
metagpt\provider\fireworks_api.py,23,1,2
metagpt\provider\general_api_requestor.py,58,1,2
metagpt\provider\human_provider.py,37,1,5
metagpt\provider\open_llm_api.py,46,2,3
metagpt\provider\openai_api.py,405,4,35
metagpt\provider\postprecess\__init__.py,3,0,0
metagpt\provider\postprecess\base_postprecess_plugin.py,70,1,5
metagpt\provider\postprecess\llm_output_postprecess.py,20,0,1
metagpt\provider\spark_api.py,186,3,18
metagpt\provider\zhipuai\__init__.py,3,0,0
metagpt\provider\zhipuai\async_sse_client.py,75,1,2
metagpt\provider\zhipuai\zhipu_model_api.py,72,1,6
metagpt\provider\zhipuai_api.py,135,2,10
metagpt\repo_parser.py,94,1,8
metagpt\roles\__init__.py,30,0,0
metagpt\roles\architect.py,40,1,1
metagpt\roles\customer_service.py,28,1,1
metagpt\roles\engineer.py,303,1,12
metagpt\roles\invoice_ocr_assistant.py,86,1,2
metagpt\roles\product_manager.py,57,1,3
metagpt\roles\project_manager.py,43,1,1
metagpt\roles\prompt.py,46,1,0
metagpt\roles\qa_engineer.py,181,1,6
metagpt\roles\researcher.py,92,2,5
metagpt\roles\role.py,411,5,31
metagpt\roles\sales.py,34,1,2
metagpt\roles\searcher.py,76,1,4
metagpt\roles\sk_agent.py,77,1,3
metagpt\roles\tutorial_assistant.py,114,1,5
metagpt\schema.py,353,14,28
metagpt\startup.py,74,0,1
metagpt\subscription.py,101,2,4
metagpt\team.py,82,2,7
metagpt\tools\__init__.py,24,2,0
metagpt\tools\code_interpreter.py,198,2,12
metagpt\tools\moderation.py,40,1,3
metagpt\tools\prompt_writer.py,111,4,11
metagpt\tools\sd_engine.py,135,1,9
metagpt\tools\search_engine.py,98,2,6
metagpt\tools\search_engine_ddg.py,102,1,5
metagpt\tools\search_engine_googleapi.py,140,2,5
metagpt\tools\search_engine_meilisearch.py,44,2,5
metagpt\tools\search_engine_serpapi.py,115,2,6
metagpt\tools\search_engine_serper.py,119,2,8
metagpt\tools\translator.py,26,1,1
metagpt\tools\ut_writer.py,299,1,15
metagpt\tools\web_browser_engine.py,52,1,5
metagpt\tools\web_browser_engine_playwright.py,149,1,8
metagpt\tools\web_browser_engine_selenium.py,123,1,7
metagpt\utils\__init__.py,24,0,0
metagpt\utils\ahttp_client.py,49,0,2
metagpt\utils\common.py,365,3,23
metagpt\utils\custom_decoder.py,297,1,7
metagpt\utils\dependency_file.py,109,1,7
metagpt\utils\file.py,75,1,2
metagpt\utils\file_repository.py,294,1,19
metagpt\utils\get_template.py,20,0,1
metagpt\utils\git_repository.py,290,2,17
metagpt\utils\highlight.py,25,0,1
metagpt\utils\json_to_markdown.py,42,0,1
metagpt\utils\make_sk_kernel.py,34,0,1
metagpt\utils\mermaid.py,146,0,1
metagpt\utils\mmdc_ink.py,41,0,1
metagpt\utils\mmdc_playwright.py,121,0,2
metagpt\utils\mmdc_pyppeteer.py,128,0,2
metagpt\utils\parse_html.py,57,2,5
metagpt\utils\pycst.py,170,2,18
metagpt\utils\read_document.py,23,0,1
metagpt\utils\repair_llm_raw_output.py,310,1,14
metagpt\utils\serialize.py,67,0,3
metagpt\utils\singleton.py,22,1,1
metagpt\utils\special_tokens.py,4,0,0
metagpt\utils\text.py,129,0,6
metagpt\utils\token_counter.py,121,0,3
metagpt\utils\utils.py,22,0,2
